Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Plataforma_IA_conversacional_2026_07_08,"Em 08/07/2026, o BB lancou plataforma de IA integrada a servicos e canais para permitir operacoes por conversas em linguagem natural no aplicativo e em outros pontos de contato.",IA_Generativa;Canais_Digitais;Linguagem_Natural,Orquestracao_conversacional_de_atendimento_e_servicos,Altissimo,Alto,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69198/bb-lanca-plataforma-de-ia-que-transforma-atendimento-em-conversas
Banco do Brasil,Acordo_UnB_Pesquisa_Aplicada_IA_2026_07_03,"Em 03/07/2026, a UnB detalhou a cooperacao tecnico-cientifica com o Banco do Brasil para desenvolver pesquisas, projetos de inovacao e capacitacao em IA, dados, seguranca digital e experiencia do usuario ao longo de 24 meses.",UnB;PCTec;Seguranca_Digital;Analitica,Parceria_de_pesquisa_aplicada_e_formacao_em_tecnologia,Altissimo,Medio,Muito alta,https://noticias.unb.br/117-pesquisa/8628-parceria-entre-unb-e-banco-do-brasil-tem-foco-em-pesquisas-em-ia
Banco do Brasil,AcademIA_BB_36_mil_agentes_2026_06_09,"Em 09/06/2026, a Let's Money reportou que o AcademIA BB 2026 reunia mais de 36 mil inscritos, enquanto o banco operava mais de 12 mil agentes do Copilot e cerca de 1,2 mil modelos de IA em producao.",Microsoft;Google_Cloud;IBM;Copilot,Capacitacao_institucional_e_escala_operacional_de_IA,Altissimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/banco-do-brasil-academia-bb-ia-agentica/
Banco do Brasil,Celent_Model_Bank_2026_06_16,"Em 16/06/2026, a Let's Money reportou que o Banco do Brasil foi eleito Banco do Ano no Celent Model Bank 2026, com reconhecimento pelo uso de IA e analytics em larga escala.",Celent;Analytics;IA;Let's_Money,Reconhecimento_externo_de_maturidade_em_IA_e_analytics,Altissimo,Medio,Muito alta,https://www.letsmoney.com.br/noticias/bb-banco-ano-celent-model-bank/
CAIXA,Protocolo_MDA_CONTAG_agricultura_familiar_2026_07_01,"Em 01/07/2026, a CAIXA assinou com MDA e Contag protocolo para ampliar credito rural e microcredito a agricultores familiares, com foco em efetividade de politicas publicas vinculadas ao Pronaf.",MDA;Contag;Pronaf;Microcredito,Expansao_de_credito_publico_com_apoio_institucional_e_capilaridade_social,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/07-JULHO/CAIXA-assina-acordo-com-MDA-e-Contag-para-fortalecer-a-agricultura-familiar-.aspx
CAIXA,Universidade_Corporativa_Luxortec_2026_07_02,"Em 02/07/2026, a InforChannel reportou que a Universidade Corporativa CAIXA foi modernizada para cerca de 150 mil usuarios, com IA, metaverso e gamificacao implementados pela Luxortec.",InforChannel;Luxortec;Universidade_CAIXA;IA,Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa,Altissimo,Medio,Muito alta,https://inforchannel.com.br/2026/07/02/universidade-corporativa-caixa-adota-sistema-de-educacao-digital-para-150-mil-usuarios/
CAIXA,Sandbox_CAIXA_Global_Finance_2026_06_15,"Em 15/06/2026, a Global Finance listou o Sandbox CAIXA entre os melhores laboratorios de inovacao financeira de 2026, destacando foco em fraude, IA, eficiencia operacional, inclusao financeira e atendimento.",Global_Finance;Sandbox_CAIXA;IA;Fraude,Reconhecimento_internacional_de_laboratorio_de_inovacao,Altissimo,Medio,Muito alta,https://gfmag.com/award/award-winners/best-financial-innovation-labs-2026/
CAIXA,Modernizacao_do_SINAPI_com_APIs_2026_05_19,"Em 19/05/2026, a CAIXA publicou edital para selecionar ate duas solucoes para modernizar o SINAPI com dados estruturados, consultas interativas, APIs documentadas e integracao com o TransfereGov.",SINAPI;TransfereGov;APIs;Dados_Estruturados,Chamada_publica_para_modernizacao_de_base_critica_de_dados,Altissimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/05-MAIO/CAIXA-lan%C3%A7a-edital-p%C3%BAblico-para-modernizar-o-SINAPI.aspx
BRB,SEP_CVM_lista_atraso_documentos_2026_07_03,"Em 03/07/2026, a Capital Aberto reportou que o BRB apareceu em lista da SEP/CVM de companhias inadimplentes por atraso superior a tres meses na entrega de documentos obrigatorios.",SEP;CVM;Capital_Aberto;Documentos_Periodicos,Pressao_publica_de_transparencia_e_compliance,Altissimo,Altissimo,Muito alta,https://capitalaberto.com.br/companhias-abertas/cvm-lista-atraso-documentos/
BRB,Posse_DIPES_2026_07_02,"Em 02/07/2026, o BRB divulgou fato relevante de Posse DIPES, mantendo a reorganizacao em uma diretoria critica de governanca e pessoas.",DIPES;BRB;Governanca;RI,Rearranjo_executivo_em_area_sensivel,Alta,Altissimo,Alta,https://ri.brb.com.br/pt/documentos-cvm
