Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Conectividade_SD-WAN,"O Banco do Brasil segue com sinal público forte em conectividade: a modernização de 93% das quase 5 mil agências com SD-WAN, dois links e dois roteadores por unidade, com implementação liderada pela Claro e tecnologia Huawei, continua sendo o caso mais robusto de infraestrutura bancária do radar.","Claro; Huawei",Contratação_modernização_de_rede,Altíssimo,Alto,Muito alta,https://dplnews.com/claro-implanta-nova-rede-de-conectividade-nas-agencias-do-banco-do-brasil/
Banco do Brasil,Compras_TI_suporte_manutencao,"O Banco do Brasil mantém a página pública de Avisos e Editais como trilha observável para compras e contratações, preservando sinal de pipeline em sustentação tecnológica e suporte a produtos.",Não_informado,Consulta_ao_mercado_RFP,Alto,Alto,Alta,https://bb.com.br/site/compras-contratacao-e-venda-de-imoveis/compras-e-contratacoes/avisos-e-editais/
Banco do Brasil,IA_pagamentos_agenticos,"O Banco do Brasil realizou com a Visa a primeira transação agêntica no Brasil em ambiente de produção controlado, com autenticação, tokenização e controles de segurança suportados pela infraestrutura da Visa.",Visa,Piloto_inovação_transacional,Alto,Alto,Muito alta,https://www.visa.com.br/sobre-a-visa/noticias-visa/nova-sala-de-imprensa/bb-visa-primeira-transacao-agentica-brasil.html
CAIXA,Pagamentos_offline,"A CAIXA mantém um dos sinais mais práticos do radar em inclusão e conectividade resiliente, com solução de pagamentos offline para benefícios em regiões remotas, testada com Elo e Microsoft e com etapa operacional prevista nas Agências-Barco.","Elo; Microsoft",Parceria_consórcio_tecnológico,Altíssimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2024/06-JUNHO/No-ultimo-dia-de-Febraban-Tech-2024-CAIXA-apresenta-solucao-inovadora-para-pagamentos-offline.aspx
CAIXA,IA_juridico,"A CAIXA mantém aberta a trilha institucional de contratação inovadora com a 8ª Chamada de Startups para solução de IA aplicada ao suporte jurídico, com CPSI de até R$ 1,6 milhão e foco em análise documental, inconsistências e fraude.",Startups,Chamada_pública_contratação_inovadora,Alto,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/01-JANEIRO/CAIXA-lanca-chamada-de-startups-para-contratar-solucao-em-IA-aplicada-ao-suporte-juridico.aspx
BRB,Capilaridade_com_Tecban,"O BRB mantém sinal operacional relevante com a Tecban na instalação de terminais Banco24Horas compactos na Paraíba e no Tocantins, com 58 equipamentos já instalados, reforçando capilaridade e presença física leve em regiões com menor infraestrutura bancária.",Tecban,Parceria_operacional,Alto,Médio,Alta,https://www.tecban.com.br/noticia/em-parceria-com-a-tecban-brb-leva-inclusao-financeira-e-acesso-bancario-a
BRB,Transformacao_digital_pagamentos,"O BRB segue posicionando transformação digital, Super App, Open Finance e expansão de soluções em Pix e iniciação de pagamentos como eixos estratégicos públicos em seus materiais de administração.",Ecossistema_próprio,Evidência_operacional_de_transformação_digital,Alto,Médio-alto,Alta,https://ri.brb.com.br/upload/files/3698_IPE-DFs-NEs-BRB-BRGAAP-set24-1.pdf
BNB,Agenda_TI_inovacao,"O BNB Tech permanece como a agenda institucional mais estruturada do recorte para discutir TI, conectividade, IA, nuvem soberana, automação e transformação digital com participação de nomes como Gartner, BID, Banco Mundial, Microsoft, IBM, Tecban, SERPRO, BB e CAIXA.","Gartner; BID; Banco Mundial; Microsoft; IBM; SERPRO; Tecban; Banco do Brasil; CAIXA",Agenda_institucional_de_TI,Altíssimo,Médio-alto,Alta,https://www.bnb.gov.br/bnb-tech
BNB,Autoatendimento_canais,"O Banco do Nordeste mantém sinal forte em canais e capilaridade com a Tecban na modernização de sua rede por meio de caixas recicladores interoperáveis com tecnologia Banco24Horas em 11 estados.","Tecban; Banco24Horas",Parceria_modernização_de_canais,Alto,Médio-alto,Muito alta,https://www.tecban.com.br/noticia/tecban-e-banco-do-nordeste-firmam-parceria-para-modernizar-rede-de
BNB,Inovacao_Open_Finance_IA,"O BNB mantém parceria de três anos com o CESAR para mais de 25 projetos ligados a Open Finance, IA, design de soluções e fluxos de crédito, reforçando agenda consistente de transformação bancária.",CESAR,Parceria_de_inovação,Altíssimo,Alto,Muito alta,https://www.cesar.org.br/w/cesar-anuncia-parceria-de-inovacao-com-o-banco-do-nordeste-bnb
