Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
"Banco do Brasil","Model_Bank_of_the_Year_Celent_2026","A Celent publicou em 11 de junho de 2026 que o Banco do Brasil venceu o Model Bank of the Year 2026, citando as iniciativas EscutAI e OdisseIA como exemplos de uso de IA e analytics alinhados a crescimento, rentabilidade e centralidade no cliente.","Celent","Reconhecimento_externo_de_maturidade_em_IA_e_analytics","Altíssimo","Médio-alto","Muito alta","https://www.celent.com/insights/banco-do-brasil-excellence-in-harnessing-ai-for-differentiated-customer-centricity"
"Banco do Brasil","Capacitacao_IA_generativa_e_agentica_AcademIA_BB_2026","O Banco do Brasil informou em 8 de junho de 2026 que o AcademIA BB 2026 já engajou mais de 36 mil funcionários, combinando IA generativa e agêntica com curadoria humana, governança e alinhamento estratégico.","Ecossistema_proprio","Programa_institucional_de_capacitacao_em_IA","Altíssimo","Alto","Muito alta","https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69153/"
"Banco do Brasil","Consulta_mercado_suporte_manutencao_software_2026","O portal de compras do BB manteve em junho de 2026 o aviso de RFP 2026/004169 para possível contratação de suporte e manutenção de produtos de software, com apresentações previstas para 15 e 16 de junho, sinalizando continuidade da agenda de sustentação tecnológica em escala.","Fornecedores_de_software","Consulta_ao_mercado_para_sustentacao_de_software","Alto","Médio-alto","Alta","https://bb.com.br/site/compras-contratacao-e-venda-de-imoveis/compras-e-contratacoes/avisos-e-editais/"
"Banco do Brasil","IA_pagamentos_agenticos_com_Visa_contexto_sustentado","Contexto sustentado: BB e Visa realizaram em 11 de março de 2026 a primeira transação agêntica no Brasil em ambiente de produção controlado, com autenticação, tokenização e controles de segurança voltados a pagamentos iniciados por agentes de IA.","Visa","Parceria_em_pagamentos_agenticos_com_controles_de_seguranca","Altíssimo","Médio","Alta","https://www.visa.com.br/sobre-a-visa/noticias-visa/nova-sala-de-imprensa/bb-visa-primeira-transacao-agentica-brasil.html"
"CAIXA","Universidade_Corporativa_digital_150_mil_usuarios","A Capital Digital publicou em 26 de junho de 2026 que a Universidade Corporativa Caixa adotou novo sistema digital para cerca de 150 mil usuários, com recursos de inteligência artificial, metaverso e gamificação.","Capital_Digital","Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa","Altíssimo","Médio","Muito alta","https://capitaldigital.com.br/universidade-corporativa-caixa-adota-novo-sistema-de-educacao-digital-para-150-mil-usuarios/"
"CAIXA","Smart_Cities_Park_modernizacao_digital_de_servicos_2026","Em 10 de junho de 2026, a CAIXA posicionou no Smart Cities Park sua atuação em inovação urbana com trilhas de IA, 5G, GovTech e modernização digital de serviços públicos para gestores municipais.","Ecossistema_de_cidades_inteligentes","Posicionamento_em_inovacao_urbana_e_servicos_digitais","Alto","Médio","Alta","https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/06-JUNHO/-CAIXA-refor%C3%A7a-compromisso-com-inova%C3%A7%C3%A3o-urbana-no-Smart-Cities-Park-em-Campina-Grande-%28PB%29.aspx"
"CAIXA","Portal_de_inovacao_CPSI_e_validacao_com_startups","A página institucional de inovação da CAIXA mantém explícito em junho de 2026 o uso de chamadas de startups e de Contratos Públicos de Solução Inovadora para testar e validar soluções, com estimativa de até R$ 1,6 milhão por solução contratada.","Startups","Esteira_publica_de_inovacao_aberta_via_CPSI","Altíssimo","Alto","Alta","https://www.caixa.gov.br/sobre-a-caixa/inovacao/Paginas/default.aspx"
"CAIXA","Desafio_aberto_SINAPI_0071_2026","O portal de inovação da CAIXA mantinha em junho de 2026 o desafio aberto 0071/2026 para solução inovadora de disponibilização inteligente dos dados SINAPI, conectado à modernização tecnológica da base de referência da construção civil.","Startups;SINAPI","Desafio_publico_de_dados_e_modernizacao_setorial","Altíssimo","Alto","Muito alta","https://www.caixa.gov.br/sobre-a-caixa/inovacao/Paginas/default.aspx"
"BRB","Nota_imprensa_irregularidades_compliance_23_06_2026","Em 23 de junho de 2026, o BRB informou que a operação da PCDF teve origem em notícia-crime encaminhada pelo próprio banco após identificação de irregularidades em movimentações financeiras e indícios de descumprimento de normas de compliance.","PCDF","Acionamento_institucional_por_indicios_de_irregularidade","Altíssimo","Altíssimo","Muito alta","https://novo.brb.com.br/releases-imprensa/"
"BRB","Governanca_executiva_de_tecnologia_junho_2026","A página oficial de competências do BRB, atualizada em junho de 2026, explicita que a Diretoria Executiva de Tecnologia responde por transformação digital, infraestrutura de TI, governança de dados, automação bancária e defesa cibernética.","Ecossistema_proprio","Governanca_formal_de_tecnologia_e_ciberseguranca","Altíssimo","Alto","Muito alta","https://novo.brb.com.br/servico-de-informacao-ao-cidadao/institucional-2/competencias/"
