Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,BB_RFP_Red_Hat_datacenters_2026_09_24,"O Banco do Brasil publicou RFP 2026/004557 para subsidiar futura contratacao de subscricao, atualizacao, upgrade, manutencao e suporte remoto de Red Hat Enterprise Linux for Datacenters para o Conglomerado Banco do Brasil.",Banco_do_Brasil;Red_Hat;RHEL;Datacenters,Consulta_publica_TI,Renovacao_e_sustentacao_de_plataforma_linux_em_datacenters_do_conglomerado,Suporte_fabricante_ciclo_de_vida_continuidade_e_padronizacao_de_sistemas,Muito alta,https://www.bb.com.br/site/compras-contratacao-e-venda-de-imoveis/compras-e-contratacoes/avisos-e-editais/
Banco do Brasil,BB_audiencia_monitores_workplace_2026_09,"A pagina de compras do Banco do Brasil registra audiencia publica online em setembro de 2026 para equipamentos do tipo monitores de video, com convite a fabricantes, fornecedores e integradoras.",Banco_do_Brasil;Monitores;Workplace;Fornecedores,Consulta_publica_workplace,Sinal_de_renovacao_de_endpoint_e_padronizacao_de_ambientes_de_trabalho,Gestao_de_fornecedores_especificacao_tecnica_e_ciclo_de_vida_de_ativos,Alta,https://www.bb.com.br/site/compras-contratacao-e-venda-de-imoveis/compras-e-contratacoes/avisos-e-editais/
Banco do Brasil,BBTS_NDR_network_detection_2026_09_24,"A BBTS lista LE 2026/18 para aquisicao de duas solucoes/appliances NDR, com licenciamento para monitorar no minimo 7.000 dispositivos de rede, instalacao, implantacao, suporte, atualizacoes e passagem de conhecimento.",BBTS;NDR;Network_Detection_Response;Seguranca,Compra_publica_ecossistema_BB,Demanda_de_ciberseguranca_de_rede_no_conglomerado_Banco_do_Brasil,Visibilidade_de_trafego_deteccao_de_ameacas_e_governanca_de_implantacao,Muito alta,https://licitacoes.bbts.com.br/licitacao-eletronica/
Banco do Brasil,BBTS_Hikvision_VMI_Redsis_seguranca_2026,"A pagina publica de inaplicabilidade da BBTS lista DGCO 00866/2026 com Hikvision do Brasil Comercio de Equipamentos de Seguranca Ltda., alem de VMI Sistemas de Seguranca e Redsis Brasil em registros de 2026.",BBTS;Hikvision;VMI;Redsis;Seguranca,Contratacao_direta_seguranca,Sinal_de_fornecedores_de_seguranca_fisica_e_tecnologia_no_ecossistema_BB,LGPD_governanca_de_contratos_rastreabilidade_e_controle_de_fornecedores,Alta,https://licitacoes.bbts.com.br/inaplicabilidade-de-licitacao/
Banco do Brasil,BB_IA_agentica_cambio_Microsoft_2026_08,"Contexto recente: o Banco do Brasil informou que reduziu em ate 90% o tempo de operacoes de cambio de grandes empresas com agente autonomo de IA desenvolvido em Microsoft Foundry, mantendo validacao final por equipes especializadas.",Banco_do_Brasil;Microsoft_Foundry;IA_Agentica;Cambio,Institucional_TI_e_operacoes,IA_agentica_em_processo_financeiro_complexo_e_regulado,Conformidade_operacional_validacao_humana_e_uso_seguro_de_documentos,Muito alta,https://imprensa.bb.com.br/banco-do-brasil-reduz-em-90-o-tempo-de-operacoes-de-cambio-com-agente-autonomo-de-ia/
Banco do Brasil,BB_NiCE_Copilot_CXone_AI_2026_07,"Contexto recente: comunicado arquivado na SEC pela NiCE em julho de 2026 afirma que o Banco do Brasil usa NiCE Copilot na plataforma CXone AI para apoiar gerentes de relacionamento e assistentes bancarios.",Banco_do_Brasil;NiCE;CXone_AI;Copilot;IA_Agentica,Fornecedor_tecnologia_atendimento,IA_aplicada_a_relacionamento_bancario_e_atendimento_personalizado,Governanca_de_IA_compliance_de_atendimento_e_privacidade_de_dados,Alta,https://www.sec.gov/Archives/edgar/data/1003935/000117891326003887/exhibit_99-5.htm
CAIXA,Caixa_Bolsa_Familia_NIS6_2026_09_24,"Em 24/09/2026, calendario publico do Bolsa Familia aponta pagamento de setembro para beneficiarios com NIS final 6, com consulta e movimentacao por canais como Caixa Tem, aplicativo Bolsa Familia e rede de atendimento.",CAIXA;CAIXA_Tem;Bolsa_Familia;App_Bolsa_Familia;MDS,Pagamentos_sociais_e_canais_digitais,Pagamentos_publicos_de_alta_escala_dependem_de_contas_digitais_e_canais_remotos,Continuidade_de_beneficios_segurança_de_acesso_e_disponibilidade,Muito alta,https://www.gov.br/mds/pt-br/acoes-e-programas/bolsa-familia/informes/2026/informe_bolsa_familia_n_104.pdf
CAIXA,Caixa_Pe_de_Meia_2026_09_24,"A pagina oficial da CAIXA para Pe-de-Meia mostra 6a parcela em 24/09/2026 para estudantes nascidos em julho e agosto, com contas Poupanca Social Digital ou Poupanca CAIXA Tem e atendimento por canais oficiais.",CAIXA;Pe_de_Meia;CAIXA_Tem;Poupanca_Social_Digital;MEC,Institucional_programa_social,Escala_de_pagamentos_educacionais_em_canais_digitais_da_CAIXA,Disponibilidade_de_canais_oficiais_contas_digitais_e_comunicacao_ao_beneficiario,Muito alta,https://www.caixa.gov.br/programas-sociais/pe-de-meia/Paginas/default.aspx
CAIXA,Caixa_CECOT_249_fila_virtual_SaaS_2026_09,"A CECOT 249/2026 trata de solucao SaaS de fila e sala de espera virtual em nuvem publica para canais digitais da CAIXA, incluindo CAIXA Tem, FGTS, Loterias, sites e sistemas, com encerramento em 28/09/2026.",SaaS;Nuvem_Publica;CAIXA_Tem;FGTS;Loterias;Fila_Virtual,Compra_publica_TI,Capacidade_e_resiliencia_de_acesso_em_canais_digitais_de_massa,Continuidade_disponibilidade_e_dependencia_de_nuvem_publica,Muito alta,https://guialicite.com.br/oportunidades/00360305000104-1-000691/2026
CAIXA,Caixa_greve_canais_digitais_2026_09,"Agencia Brasil registrou greve nacional da CAIXA em setembro e orientacao para uso de App CAIXA, Internet Banking, WhatsApp, CAIXA Tem, autoatendimento, Banco24Horas, lotericas e Correspondentes CAIXA Aqui.",CAIXA;CAIXA_Tem;App_CAIXA;WhatsApp;Banco24Horas;Lotericas,Mídia_publica_operacional,Continuidade_operacional_de_canais_digitais_e_remotos_em_crise_trabalhista,Dependencia_de_canais_digitais_rede_alternativa_e_jornadas_remotas,Muito alta,https://agenciabrasil.ebc.com.br/economia/noticia/2026-09/caixa-entra-em-greve-nacional-bb-tem-paralisacao-parcial
