Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,BBTS_IA_renegociacao_dividas_whatsapp_2026_07_14,"Em 14/07/2026, a Let's Money reportou que a BBTS, com AWS e BRQ Digital Solutions, colocou uma IA generativa no WhatsApp para renegociacao de dividas do Banco do Brasil, com +306% em conversoes e cerca de 50% das interacoes concluidas sem atendente.",BBTS;AWS;BRQ_Digital_Solutions;WhatsApp,IA_aplicada_a_cobranca_e_renegociacao_digital,Altissimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/ia-banco-do-brasil-negocia-divida-whatsapp/
Banco do Brasil,Plataforma_IA_conversacional_app_whatsapp_2026_07_10,"Em 10/07/2026, a TI Inside reportou que o Banco do Brasil lancou uma plataforma de IA conversacional integrada ao aplicativo e ao WhatsApp para executar operacoes em linguagem natural.",TI_Inside;WhatsApp;Aplicativo_BB;IA_Conversacional,Orquestracao_de_canais_digitais_com_IA_conversacional,Altissimo,Medio,Muito alta,https://tiinside.com.br/10/07/2026/banco-do-brasil-lanca-plataforma-de-ia-conversacional-integrada-ao-app-e-whatsapp/
Banco do Brasil,Acordo_UnB_Pesquisa_Aplicada_IA_2026_07_03,"Em 03/07/2026, a UnB detalhou a cooperacao tecnico-cientifica com o Banco do Brasil para desenvolver pesquisas, projetos de inovacao e capacitacao em IA, dados, seguranca digital e experiencia do usuario ao longo de 24 meses.",UnB;PCTec;Seguranca_Digital;Analitica,Parceria_de_pesquisa_aplicada_e_formacao_em_tecnologia,Altissimo,Medio,Muito alta,https://noticias.unb.br/117-pesquisa/8628-parceria-entre-unb-e-banco-do-brasil-tem-foco-em-pesquisas-em-ia
Banco do Brasil,AcademIA_BB_2026_06_09,"Em 09/06/2026, o Banco do Brasil informou que o AcademIA BB 2026 reuniu mais de 36 mil funcionarios em trilhas de IA generativa e agentica, com enfase em governanca e curadoria humana.",AcademIA_BB;IA_Generativa;IA_Agentica;Governanca,Capacitacao_em_escala_para_adocao_corporativa_de_IA,Altissimo,Medio,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69153/
CAIXA,Bolsa_Familia_CAIXA_Tem_2026_07_17,"Em 17/07/2026, a CAIXA informou o inicio do pagamento de julho do Bolsa Familia com uso preferencial do app CAIXA Tem, possibilidade de saque sem cartao por biometria e antecipacao para municipios em emergencia.",CAIXA_Tem;Biometria;Bolsa_Familia;Beneficios_Sociais,Escala_operacional_digital_em_pagamentos_sociais,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/07-JULHO/CAIXA-inicia-pagamento-do-Bolsa-Fam%C3%ADlia-referente-ao-m%C3%AAs-de-julho-nesta-segunda-feira-%2820%29.aspx
CAIXA,Abono_Salarial_CAIXA_Tem_Poupanca_Social_Digital_2026_07_15,"Em 15/07/2026, a CAIXA informou pagamento de mais de R$ 4,8 bilhoes de Abono Salarial com distribuicao por conta CAIXA, abertura automatica de Poupanca Social Digital e uso do app CAIXA Tem, alem de biometria.",CAIXA_Tem;Poupanca_Social_Digital;Biometria;Abono_Salarial,Escala_operacional_digital_em_pagamentos_sociais,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/07-JULHO/ABONO-SALARIAL-CAIXA-paga-mais-de-R-48-bilhoes-aos-trabalhadores-nascidos-em-setembro-e-outubro.aspx
CAIXA,TEIA_Startups_2026_07_13,"Em 13/07/2026, o Espaco TEIA CAIXA abriu inscricoes para um novo ciclo do Programa TEIA Startups, conectando startups a orgaos publicos, empresas, universidades e desafios estrategicos da CAIXA.",Espaco_TEIA_CAIXA;Startups;Universidades;Setor_Publico,Inovacao_aberta_e_formacao_de_pipeline_de_solucoes,Alta,Medio,Alta,https://hubteia.com.br/sua-startup-pode-ser-residente-do-espaco-teia-caixa/
CAIXA,Universidade_Corporativa_Luxortec_2026_07_02,"Em 02/07/2026, a InforChannel reportou que a Universidade Corporativa CAIXA foi modernizada para cerca de 150 mil usuarios, com IA, metaverso e gamificacao implementados pela Luxortec.",InforChannel;Luxortec;Universidade_CAIXA;IA,Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa,Altissimo,Medio,Muito alta,https://inforchannel.com.br/2026/07/02/universidade-corporativa-caixa-adota-sistema-de-educacao-digital-para-150-mil-usuarios/
BRB,Esclarecimentos_Vero_Noticias_2026_07_20,"Em 20/07/2026, a pagina de Documentos CVM do BRB passou a destacar comunicado ao mercado com esclarecimentos sobre noticia divulgada na midia pela Vero Noticias, mantendo alta a temperatura institucional do caso.",Vero_Noticias;Documentos_CVM;Mercado;Governanca,Resposta_formal_a_pressao_de_midia_e_controle,Altissimo,Altissimo,Muito alta,https://ri.brb.com.br/pt/documentos-cvm
BRB,Atualizacao_operacao_divulgada_20_abril_2026_07_17,"Em 17/07/2026, a pagina de Documentos CVM do BRB passou a destacar fato relevante de atualizacao sobre a operacao divulgada em 20 de abril de 2026, mantendo o caso no centro do monitoramento institucional do banco.",Banco_Master;Operacao_20_Abril;Documentos_CVM;Governanca,Atualizacao_formal_de_operacao_sensivel_com_efeito_em_governanca,Altissimo,Altissimo,Muito alta,https://ri.brb.com.br/pt/documentos-cvm
BRB,Crise_pos_Master_prazo_limite_2026_07_10,"Em 10/07/2026, a Folha reportou que o BRB completou um ano sem divulgar resultados e se aproximava de prazo limite para resolver a crise pos-Banco Master.",Folha;Banco_Master;Resultados;Prazo_Limite,Pressao_de_mercado_e_governanca_sobre_recomposicao_financeira,Altissimo,Altissimo,Muito alta,https://www1.folha.uol.com.br/mercado/2026/07/brb-completa-1-ano-sem-divulgar-resultado-e-se-aproxima-de-prazo-limite-para-resolver-crise-pos-master.shtml
BRB,Crise_BRB_Banco_Master_sob_escrutinio_politico_2026_06_26,"Em 26/06/2026, a Radio Senado reportou requerimento para ouvir o secretario de Economia do DF sobre os impactos da crise envolvendo BRB e Banco Master nas contas publicas do Distrito Federal.",Banco_Master;GDF;Radio_Senado;Contas_Publicas,Pressao_politica_e_fiscal_sobre_reestruturacao_do_banco,Altissimo,Altissimo,Alta,https://www12.senado.leg.br/radio/1/noticia/2026/06/26/comissao-deve-ouvir-secretario-do-df-sobre-impactos-da-crise-do-brb
Sicoob,Goleada_de_Ofertas_2026_07_18,"Em 18/07/2026, o Sicoob lancou a campanha Goleada de Ofertas, usando futebol e influenciadores como plataforma de engajamento, aquisicao e estrategia de negocios.",Zico;Endrick;Influenciadores;Futebol,Plataforma_comercial_de_marca_e_aquisicao,Alta,Baixo,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/321076677
Sicoob,IA_atendimento_consultivo_investimentos_2026_07_17,"Em 17/07/2026, o Sicoob publicou que passou a usar inteligencia artificial para fortalecer o atendimento consultivo das cooperativas em investimentos, apoiando a equipe com mais velocidade e padronizacao analitica.",IA;Investimentos;Atendimento_Consultivo;Cooperativas,IA_aplicada_a_produtividade_comercial_e_qualidade_de_atendimento,Altissimo,Medio,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/323334641
Sicoob,Plano_Safra_2026_27_70_bilhoes_2026_07_06,"Em 06/07/2026, o Portal do Cooperativismo Financeiro reportou que o Sicoob vai liberar R$ 70 bilhoes em credito rural para o Plano Safra 2026/27, alta de 17,7% sobre o ciclo anterior.",Plano_Safra;Credito_Rural;Agro;Cooperativismo_Financeiro,Escala_de_distribuicao_financeira_no_agro,Altissimo,Medio,Muito alta,https://cooperativismodecredito.coop.br/2026/07/sicoob-amplia-credito-rural-e-disponibiliza-r-70-bilhoes-para-o-plano-safra-2026-27/
Sicoob,HDI_embedded_insurance_2026_06_02,"Em 02/06/2026, o Portal do Cooperativismo Financeiro destacou a parceria entre Sicoob e Grupo HDI para embutir seguro na jornada de financiamento veicular, reduzindo friccao operacional e acelerando a protecao ao cooperado.",Grupo_HDI;Seguro_Auto_Financiado;Embedded_Insurance;Credito_Veicular,Parceria_de_produto_combinando_credito_e_seguro_na_mesma_jornada,Alta,Medio,Alta,https://cooperativismodecredito.coop.br/2026/06/sicoob-e-grupo-hdi-anunciam-parceria-e-lancam-solucao-que-une-credito-e-seguro/
Banco Central,Contas_em_moeda_estrangeira_regulacao_cambial_2026_07_01,"Em 01/07/2026, o Banco Central ampliou o acesso a contas em moeda estrangeira e modernizou a regulacao cambial no pais para reduzir custos, simplificar operacoes e dar mais eficiencia aos negocios internacionais.",Cambio;Contas_Em_Moeda_Estrangeira;Negocios_Internacionais;Regulacao_Cambial,Modernizacao_regulatoria_com_impacto_em_sistemas_e_processos,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21191/noticia
Banco Central,Prudencial_para_prestadoras_de_ativos_virtuais_2026_07_01,"Em 01/07/2026, o Banco Central incorporou as sociedades prestadoras de servicos de ativos virtuais ao arcabouco prudencial vigente, ampliando a densidade regulatoria do setor.",Ativos_Virtuais;PSAV;Prudencial;Compliance,Expansao_do_arco_prudencial_sobre_infraestrutura_financeira_digital,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21192/nota
Banco Central,Pix_por_aproximacao_sem_teto_fixo_2026_06_19,"Em 19/06/2026, o Banco Central retirou o teto fixo de R$ 500 do Pix por aproximacao e deu prazo ate 01/10/2026 para adaptacao das instituicoes.",Pix;Open_Finance;Pagamentos_Digitais;Aproximacao,Flexibilizacao_regulatoria_com_impacto_direto_em_pagamentos_digitais,Altissimo,Alto,Muito alta,https://www.bcb.gov.br/detalhenoticia/21169/noticia
Banco Central,BC_mira_baixa_recuperacao_fraudes_Pix_2026_06_10,"Em 10/06/2026, a Finsiders Brasil reportou que o Banco Central esta de olho em instituicoes com taxa de recuperacao de recursos fraudados abaixo de 9% no Pix.",Fraudes;Pix;Recuperacao_de_Recursos;Finsiders_Brasil,Vigilancia_supervisora_com_pressao_sobre_controles_anti_fraude,Altissimo,Altissimo,Alta,https://finsidersbrasil.com.br/regulamentacao/bc-mira-instituicoes-com-baixa-recuperacao-de-fraudes-no-pix/
