Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Premiacao_Celent_Model_Bank_Banco_do_Ano_2026,"A página oficial de imprensa do Banco do Brasil em junho de 2026 destaca que o banco foi eleito Banco do Ano pelo Celent Model Bank, sinal público de reconhecimento externo para uso de IA em escala, tecnologia e experiência do cliente.",Celent,Reconhecimento_externo_de_maturidade_digital,Altíssimo,Médio-alto,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69171/
Banco do Brasil,Capacitacao_IA_generativa_e_agentica_AcademIA_BB_2026,"O Banco do Brasil informou em junho de 2026 que o AcademIA BB 2026 já engajou mais de 36 mil funcionários, combinando IA generativa e agêntica com curadoria humana, governança e alinhamento estratégico, sinal de escala interna para adoção estruturada de IA.",Ecossistema_proprio,Programa_institucional_de_capacitacao_em_IA,Altíssimo,Alto,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69153/
Banco do Brasil,Gestao_de_endpoint_em_escala_UEM_AEM_DEX_MDM_MAM,"O portal oficial de compras do BB expõe a Pré-Qualificação 2026/0001(9905) para Unified Endpoint Management, Autonomous Endpoint Management, Digital Employee Experience, Mobile Device Management e Mobile Application Management, com escala pública de até 68 mil Linux, 111 mil Windows, 500 macOS, 39 mil Android e 11 mil iOS-iPadOS.",Nao_informado,Pre_qualificacao_publica_para_gestao_de_endpoint_e_experiencia_digital,Altíssimo,Alto,Muito alta,https://bb.com.br/site/compras-contratacao-e-venda-de-imoveis/compras-e-contratacoes/avisos-e-editais/
Banco do Brasil,IA_pagamentos_agenticos_com_Visa,"BB e Visa realizaram a primeira transação agêntica no Brasil em ambiente de produção controlado, com autenticação, tokenização e controles de segurança da rede Visa, dando sinal concreto de evolução de IA aplicada a pagamentos.",Visa,Parceria_tecnologica_para_pagamentos_com_IA,Altíssimo,Alto,Muito alta,https://www.visa.com.br/sobre-a-visa/noticias-visa/nova-sala-de-imprensa/bb-visa-primeira-transacao-agentica-brasil.html
CAIXA,Integracao_judiciaria_SISBAJUD_2026,"A CAIXA firmou acordo com o CNJ para participar do piloto do novo SISBAJUD, plataforma desenvolvida com Banco Central e PGFN, reforçando integração sistêmica, automação de fluxos críticos e segurança jurídica.",CNJ;Banco_Central;PGFN,Cooperacao_tecnologica_e_integracao_critica,Altíssimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/05-MAIO/CAIXA-e-CNJ-fecham-acordo-para-implementar-o-novo-SISBAJUD-.aspx
CAIXA,Inovacao_aberta_TEIA_com_Instituto_Caldeira,"No South Summit Brazil 2026, a CAIXA assinou termo de cooperação com o Instituto Caldeira para desenvolver iniciativas de inovação, ciência, tecnologia, empreendedorismo e aproximação com startups, GovTechs e Fintechs via TEIA.",Instituto_Caldeira;GovTechs;Fintechs,Cooperacao_institucional_para_inovacao_aberta,Altíssimo,Médio-alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/03-MAR%C3%87O/CAIXA-e-Instituto-Caldeira-assinam-termo-de-cooperacao-no-South-Summit-Brazil-2026-.aspx
CAIXA,Transformacao_digital_TEIA_IA_generativa_e_ciberseguranca,"Na Febraban Tech 2025, a CAIXA posicionou o TEIA como eixo estruturante de transformação digital, com 1,1 mil empregados diretamente envolvidos e menção explícita a IA generativa no monitoramento de transações e à agenda de cibersegurança.",Ecossistema_proprio,Programa_estruturante_de_transformacao_digital,Altíssimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2025/06-JUNHO/CAIXA-participa-da-Febraban-Tech-2025.aspx
CAIXA,Smart_Cities_Park_modernizacao_digital_de_servicos_2026,"Em 10 de junho de 2026, a CAIXA posicionou no Smart Cities Park sua oferta de crédito, inovação, sustentabilidade e modernização digital de serviços públicos, com painéis sobre IA, 5G, GovTech e eficiência energética para gestores municipais.",Smart_Cities_Park;GovTechs,Presenca_institucional_em_agenda_de_cidades_inteligentes,Alto,Médio-alto,Alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/06-JUNHO/-CAIXA-refor%C3%A7a-compromisso-com-inova%C3%A7%C3%A3o-urbana-no-Smart-Cities-Park-em-Campina-Grande-%28PB%29.aspx
BRB,Governanca_executiva_de_Tecnologia_junho_2026,"A página oficial de competências do BRB, atualizada em junho de 2026, explicita que a Diretoria Executiva de Tecnologia responde por transformação digital, infraestrutura de TI, governança de dados, automação bancária e defesa cibernética.",Ecossistema_proprio,Evidencia_institucional_de_governanca_execucao_e_compras,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/servico-de-informacao-ao-cidadao/institucional-2/competencias/
BRB,Trilha_decisoria_compras_riscos_e_negocios_digitais,"A página oficial de contatos do BRB mantém, em junho de 2026, os executivos de Tecnologia e Negócios Digitais expostos em comitês de compras, negócios e riscos, sinalizando trilha decisória pública para digital, governança e contratação.",Ecossistema_proprio,Exposicao_publica_da_governanca_e_dos_comites,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/servico-de-informacao-ao-cidadao/institucional-2/contatos/
