Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Conectividade_SD-WAN,"O Banco do Brasil mantém um dos sinais mais concretos de conectividade do radar com a modernização da rede de agências em parceria com a Claro e tecnologia Huawei, cobrindo milhares de unidades e reforçando resiliência operacional de borda.",Claro; Huawei,Modernizacao_de_rede_e_conectividade,Altíssimo,Alto,Muito alta,https://dplnews.com/claro-implanta-nova-rede-de-conectividade-nas-agencias-do-banco-do-brasil/
Banco do Brasil,Seguranca_SSE_e_Zero_Trust,"O BB expõe RFP pública para contratação de solução de Security Service Edge com SWG, ZTNA e CASB por 36 meses, prorrogáveis até 60 meses, sinal direto de agenda de segurança, acesso seguro e governança de tráfego em nuvem.",Não_informado,RFP_publica_de_seguranca_e_zero_trust,Altíssimo,Alto,Muito alta,https://www.bb.com.br/docs/portal/disec/NovoTR-SSE-RFP-02.pdf
Banco do Brasil,IA_pagamentos_agenticos,"O BB realizou com a Visa a primeira transação agêntica no Brasil em ambiente de produção controlado, com autenticação, tokenização e controles de segurança apoiados pela infraestrutura da Visa.",Visa,Piloto_de_inovacao_transacional,Altíssimo,Alto,Muito alta,https://www.visa.com.br/sobre-a-visa/noticias-visa/nova-sala-de-imprensa/bb-visa-primeira-transacao-agentica-brasil.html
Banco do Brasil,Seguranca_digital_por_design,"O Radar de Tendências Tecnológicas do BB reforça publicamente a tese de segurança digital desde o design, com IA aplicada ao desenvolvimento, arquiteturas resilientes e monitoramento contínuo como parte estrutural do ciclo de software.",Ecossistema_proprio,Evidencia_institucional_de_secure_by_design,Alto,Alto,Alta,https://www.bb.com.br/site/tendencias/
CAIXA,Pagamentos_offline,"A CAIXA mantém sinal forte em inclusão e resiliência operacional com a solução de pagamentos offline para benefícios em regiões remotas, em parceria com Elo e Microsoft e com uso previsto em agências-barco.",Elo; Microsoft,Parceria_tecnologica_para_pagamentos,Altíssimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2024/06-JUNHO/No-ultimo-dia-de-Febraban-Tech-2024-CAIXA-apresenta-solucao-inovadora-para-pagamentos-offline.aspx
CAIXA,IA_juridico,"A CAIXA lançou chamada pública para contratar solução de IA aplicada ao suporte jurídico, com foco em análise documental, identificação de inconsistências, indícios de fraude e padronização de processos.",Startups,Chamada_publica_para_contratacao_inovadora,Altíssimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/01-JANEIRO/CAIXA-lanca-chamada-de-startups-para-contratar-solucao-em-IA-aplicada-ao-suporte-juridico.aspx
CAIXA,Transformacao_digital_TEIA,"Na Febraban Tech 2025, a CAIXA posicionou o programa TEIA como eixo da transformação digital do banco, com 1,1 mil empregados diretamente envolvidos e discurso explícito de cibersegurança e IA no monitoramento de transações.",Ecossistema_proprio,Programa_estruturante_de_transformacao_digital,Altíssimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2025/06-JUNHO/CAIXA-participa-da-Febraban-Tech-2025.aspx
CAIXA,Capacitacao_IA_com_Microsoft,"A CAIXA lançou, com a DIO e a Microsoft, o Bootcamp Inteligência Artificial na Prática, ampliando o vetor público de capacitação, IA generativa e formação de ecossistema.",DIO; Microsoft,Parceria_de_capacitacao_e_ecossistema_IA,Alto,Médio-alto,Alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2025/11-NOVEMBRO/CAIXA-lanca-Bootcamp-focado-em-IA-para-estudantes-que-querem-transformar-o-futuro.aspx
BRB,Governanca_compliance_controle,"O BRB informou a entrega à Polícia Federal e ao Banco Central da primeira etapa do relatório preliminar da investigação independente conduzida com Machado Meyer e suporte técnico da Kroll, mantendo o banco no topo do calor regulatório.",Machado_Meyer_Advogados; Kroll; Banco_Central; Policia_Federal,Resposta_regulatoria_e_de_governanca,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/imprensa/nota-a-imprensa-03-02-2026/
BRB,Capital_regulatorio_e_continuidade,"O BRB entregou ao Banco Central seu Plano de Capital, com ações preventivas de recomposição a serem executadas em até 180 dias caso se confirme necessidade de aporte.",Banco_Central; Governo_do_Distrito_Federal,Resposta_regulatoria_de_capital_e_continuidade,Altíssimo,Altíssimo,Muito alta,https://novo.brb.com.br/imprensa/nota-a-imprensa-06-02-2026/
