Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Novo_App_BB_IA_hiperpersonalizacao_2026_08_24,"Em 24/08/2026, o Banco do Brasil lancou novo App BB com rollout ate o fim de setembro, jornadas conversacionais por texto ou voz, assistente integrado, hiperpersonalizacao, acessibilidade e recomendacao contextual de widgets e atalhos.",App_BB;IA_Conversacional;Hiperpersonalizacao;Acessibilidade,Canal_digital_com_IA_e_personalizacao_em_escala,Altissimo,Medio,Muito alta,https://imprensa.bb.com.br/banco-do-brasil-lanca-novo-app/
Banco do Brasil,Stefanini_BB_IA_credito_numerario_2026_09_01,"Em 01/09/2026, a Let's Money reportou que Stefanini e Banco do Brasil estimam R$ 23 milhoes de economia anual com IA na logistica de numerario e mais de 8 mil horas-homem de eficiencia em etapa de analise de credito.",Stefanini;IA;Credito;Numerario,IA_operacional_em_credito_e_logistica_fisica_de_agencias,Altissimo,Medio,Muito alta,https://www.letsmoney.com.br/noticias/stefanini-bb-23-mi-economia-ia/
Banco do Brasil,Conta_Eleitoral_Digital_BB_biometria_2026_08_24,"Em 24/08/2026, o BB informou ampliacao da Conta Eleitoral Digital BB, com integracao aos sistemas da Justica Eleitoral, validacao automatica do RAC e abertura de ate cinco contas pelo app com biometria facial.",Justica_Eleitoral;Biometria_Facial;App_BB;Setor_Publico,Digitalizacao_de_jornada_regulada_para_contas_eleitorais,Alta,Alto,Alta,https://imprensa.bb.com.br/bb-simplifica-abertura-de-contas-eleitorais-para-candidatos-nas-eleicoes-2026/
Banco do Brasil,Radar_Tendencias_Tecnologicas_BB_contexto_sustentado,"Contexto sustentado: o Radar de Tendencias Tecnologicas do BB permanece como fonte publica institucional de tendencias tecnologicas, agenda de eventos, noticias diarias e analises sobre inovacao, util para mapear prioridades de IA, canais digitais e tecnologia acompanhadas pelo banco.",Radar_Tecnologico_BB;Inovacao;IA;Tendencias,Inteligencia_institucional_de_inovacao_e_monitoramento_de_tecnologia,Media,Medio,Media,https://radar.apps.bb.com.br/
CAIXA,Bolsa_Familia_setembro_CAIXA_Tem_greve_2026_09_17,"Em 17/09/2026, iniciou o calendario do Bolsa Familia de setembro, mantido mesmo com greve nacional na CAIXA, com orientacao para uso de CAIXA Tem, app CAIXA, Pix, cartao de debito, caixas eletronicos, lotericas, correspondentes e biometria.",CAIXA_Tem;App_CAIXA;Pix;Biometria,Continuidade_operacional_digital_em_pagamentos_sociais_de_alta_escala,Altissimo,Medio,Muito alta,https://www1.folha.uol.com.br/mercado/2026/09/calendario-do-bolsa-familia-de-setembro-comeca-em-meio-a-greve-dos-bancarios-da-caixa.shtml
CAIXA,Parcelar_Pix_app_CAIXA_2026_09_03,"Em 03/09/2026, a CAIXA anunciou o Parcelar Pix para pessoa fisica no aplicativo, com valores de R$ 300 a R$ 50 mil, prazo de ate 12 meses, CET/IOF exibidos antes da confirmacao e liberacao condicionada a analise de risco.",Pix;App_CAIXA;Credito;Analise_de_Risco,Expansao_de_credito_embutido_no_fluxo_de_pagamento_instantaneo,Altissimo,Alto,Muito alta,https://www1.folha.uol.com.br/mercado/2026/09/caixa-anuncia-pix-parcelado-no-aplicativo-com-prazo-de-ate-12-meses.shtml
CAIXA,TEIA_CAIXA_oportunidades_GovTech_2026_09,"Em setembro de 2026, o Espaco TEIA CAIXA mantinha oportunidades abertas ligadas a GovTech, cidades inteligentes, IA, energia, robotica e digitalizacao do setor publico.",Espaco_TEIA_CAIXA;GovTech;Startups;IA,Inovacao_aberta_e_pipeline_publico_privado_de_solucoes,Alta,Medio,Alta,https://hubteia.com.br/
CAIXA,CECOT_78_2026_fabrica_software_cash_management,"Aviso publico da CECOT 78/2026 da CAIXA indicou contratacao de servicos de tecnologia da informacao em regime de fabrica de software para desenvolvimento de plataforma de servicos de cash management.",Fabrica_de_Software;Cash_Management;TI;CAIXA,Demanda_publica_de_desenvolvimento_de_plataforma_financeira_PJ,Alta,Alto,Alta,https://www.licitacao.net/licitacoes/caixa-economica-federal-brasili-cecot-78-2026/690586
BRB,BC_perda_potencial_BRB_Master_2026_09_16,"Em 16/09/2026, o UOL reportou relatorio do Banco Central indicando perda potencial de R$ 11,4 bilhoes no BRB pos-Master, acima dos R$ 8,8 bilhoes considerados pelo GDF, com determinacoes de reconhecimento de perdas e reavaliacao de ativos.",Banco_Central;Banco_Master;GDF;FGC,Risco_extremo_de_capital_liquidez_governanca_e_supervisao_bancaria,Altissimo,Altissimo,Muito alta,https://noticias.uol.com.br/colunas/natalia-portinari/2026/09/16/relatorio-do-bc-indica-rombo-potencial-de-r-114-bi-no-brb-pos-master.htm
BRB,BRB_venda_credito_XP_Master_2026_09_16,"Em 16/09/2026, a Folha reportou venda pelo BRB de credito originado no Master para a XP por R$ 304,6 milhoes, envolvendo seis CCBs, autorizacao no STF e salvaguardas como auditoria juridica, tecnica, contabil, de credito e fiscal e registro na B3.",XP;Banco_Master;STF;B3,Reforco_de_liquidez_e_ativos_stressados_com_governanca_judicializada,Alto,Altissimo,Muito alta,https://c-level.folha.uol.com.br/financas/2026/09/brb-vendeu-para-xp-credito-originado-no-master-no-valor-de-r-3046-milhoes.shtml
BRB,Afastamentos_cautelares_caso_Master_2026_09_14,"Em 14/09/2026, a Folha reportou que o BRB afastou cautelarmente cinco funcionarios, incluindo ex-diretores, no ambito das investigacoes internas relacionadas ao ecossistema Master.",Banco_Master;Corregedoria;Conselho_de_Administracao;Governanca,Resposta_de_governanca_a_crise_institucional_e_de_controles,Alto,Altissimo,Muito alta,https://www1.folha.uol.com.br/mercado/2026/09/brb-afasta-ex-diretores-apos-investigacao-do-caso-master.shtml
BRB,PE_052_2026_links_comunicacao_data_centers,"Em 2026, o Pregao Eletronico 052/2026 do BRB tratou da contratacao de links de comunicacao de dados por circuitos de alta capacidade para conectividade entre data centers, unidades administrativas, unidades negociais e internet publica, com disputa e lances registrados em setembro.",Links_de_Comunicacao;Data_Centers;Internet_Publica;Conectividade,Contratacao_de_conectividade_critica_para_continuidade_operacional_do_banco,Alta,Alto,Alta,https://www.portaldecompraspublicas.com.br/processos/DF/BRB-BANCO-DE-BRASILIA-SA-3635/PE-052-2026-2026-502226
Sicoob,SuperApp_Open_Finance_IA_2026_09_01,"Em 02/09/2026, a Let's Money reportou que o Sicoob iniciou em 01/09/2026 a distribuicao da nova geracao do SuperApp, colocando contas de outras instituicoes na tela inicial via Open Finance e adicionando assistente de IA para pedidos em linguagem natural.",SuperApp_Sicoob;Open_Finance;Sisbr_IA;Pix,Open_Finance_e_IA_conversacional_no_canal_principal_do_cooperado,Altissimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/sicoob-superapp-open-finance-ia-generativa/
Sicoob,TIInside_SuperApp_IA_Open_Finance_2026_09_01,"Em 01/09/2026, a TI Inside registrou que o Sicoob comecou a implantar nova geracao do SuperApp com recursos de Open Finance, inteligencia artificial generativa e personalizacao.",TI_Inside;Open_Finance;IA_Generativa;Personalizacao,Validacao_setorial_independente_do_roadmap_de_app_open_finance_e_IA,Alta,Alto,Alta,https://tiinside.com.br/
Sicoob,Open_Finance_complexidade_350_cooperativas_2026_09_14,"Em 14/09/2026, a Convergencia Digital detalhou que, com mais de 350 cooperativas, o Sicoob precisou adaptar jornadas digitais, consentimento, conceitos de marca e estruturas tecnologicas para compartilhamento de dados e iniciacao de pagamentos no Open Finance.",Open_Finance;Consentimento;Cooperativas;Arquitetura_Tecnologica,Complexidade_operacional_e_tecnologica_do_Open_Finance_em_modelo_cooperativo,Altissimo,Alto,Muito alta,https://convergenciadigital.com.br/mercado/sicoob-cooperativas-enfrentam-a-complexidade-do-open-finance/
