Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,BBTS_IA_renegociacao_dividas_whatsapp_2026_07_14,"Em 14/07/2026, a Let's Money reportou que a BBTS, com AWS e BRQ Digital Solutions, colocou uma IA generativa no WhatsApp para renegociacao de dividas do Banco do Brasil, com +306% em conversoes e 50% das interacoes concluida sem atendente.",BBTS;AWS;BRQ_Digital_Solutions;WhatsApp,IA_aplicada_a_cobranca_e_renegociacao_digital,Altissimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/ia-banco-do-brasil-negocia-divida-whatsapp/
Banco do Brasil,Plataforma_IA_conversacional_2026_07_08,"Em 08/07/2026, o Banco do Brasil lancou plataforma de IA integrada a servicos e canais para permitir operacoes por conversas em linguagem natural no aplicativo e em outros pontos de contato.",IA_Generativa;Canais_Digitais;Linguagem_Natural;App_BB,Orquestracao_conversacional_de_atendimento_e_servicos,Altissimo,Alto,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69198/bb-lanca-plataforma-de-ia-que-transforma-atendimento-em-conversas
Banco do Brasil,Acordo_UnB_Pesquisa_Aplicada_IA_2026_07_03,"Em 03/07/2026, a UnB detalhou a cooperacao tecnico-cientifica com o Banco do Brasil para desenvolver pesquisas, projetos de inovacao e capacitacao em IA, dados, seguranca digital e experiencia do usuario ao longo de 24 meses.",UnB;PCTec;Seguranca_Digital;Analitica,Parceria_de_pesquisa_aplicada_e_formacao_em_tecnologia,Altissimo,Medio,Muito alta,https://noticias.unb.br/117-pesquisa/8628-parceria-entre-unb-e-banco-do-brasil-tem-foco-em-pesquisas-em-ia
Banco do Brasil,AcademIA_BB_36_mil_agentes_2026_06_09,"Em 09/06/2026, a Let's Money reportou que o AcademIA BB 2026 reunia mais de 36 mil inscritos, enquanto o banco operava mais de 12 mil agentes do Copilot e cerca de 1,2 mil modelos de IA em producao.",Microsoft;Google_Cloud;IBM;Copilot,Capacitacao_institucional_e_escala_operacional_de_IA,Altissimo,Alto,Muito alta,https://www.letsmoney.com.br/noticias/banco-do-brasil-academia-bb-ia-agentica/
CAIXA,Protocolo_MDA_CONTAG_agricultura_familiar_2026_07_01,"Em 01/07/2026, a CAIXA assinou com MDA e Contag protocolo para ampliar credito rural e microcredito a agricultores familiares de municipios de baixa renda, com foco em efetividade de politicas publicas vinculadas ao Pronaf.",MDA;Contag;Pronaf;Microcredito,Expansao_de_credito_publico_com_apoio_institucional_e_capilaridade_social,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/07-JULHO/CAIXA-assina-acordo-com-MDA-e-Contag-para-fortalecer-a-agricultura-familiar-.aspx
CAIXA,Universidade_Corporativa_Luxortec_2026_07_02,"Em 02/07/2026, a InforChannel reportou que a Universidade Corporativa CAIXA foi modernizada para cerca de 150 mil usuarios, com IA, metaverso e gamificacao implementados pela Luxortec.",InforChannel;Luxortec;Universidade_CAIXA;IA,Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa,Altissimo,Medio,Muito alta,https://inforchannel.com.br/2026/07/02/universidade-corporativa-caixa-adota-sistema-de-educacao-digital-para-150-mil-usuarios/
CAIXA,Sandbox_CAIXA_Global_Finance_2026_06_15,"Em 15/06/2026, a Global Finance listou o Sandbox CAIXA entre os melhores laboratorios de inovacao financeira de 2026, destacando foco em fraude, IA, eficiencia operacional, inclusao financeira e atendimento.",Global_Finance;Sandbox_CAIXA;IA;Fraude,Reconhecimento_internacional_de_laboratorio_de_inovacao,Altissimo,Medio,Muito alta,https://gfmag.com/award/award-winners/best-financial-innovation-labs-2026/
CAIXA,Modernizacao_do_SINAPI_com_APIs_2026_05_19,"Em 19/05/2026, a CAIXA publicou edital para selecionar ate duas solucoes para modernizar o SINAPI com dados estruturados, consultas interativas, APIs documentadas e integracao com o TransfereGov.",SINAPI;TransfereGov;APIs;Dados_Estruturados,Chamada_publica_para_modernizacao_de_base_critica_de_dados,Altissimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/05-MAIO/CAIXA-lan%C3%A7a-edital-p%C3%BAblico-para-modernizar-o-SINAPI.aspx
BRB,Posse_DIPES_2026_07_02,"Em 02/07/2026, o BRB publicou fato relevante de Posse DIPES, mantendo a reorganizacao executiva em diretoria critica para governanca e pessoas.",BRB;DIPES;Governanca;Diretoria,Reorganizacao_executiva_em_area_sensivel,Alta,Alto,Muito alta,https://ri.brb.com.br/upload/files/4178_Fato-Relevante-Posse_DIPES__.pdf
BRB,Crise_BRB_Banco_Master_sob_escrutinio_politico_2026_06_26,"Em 26/06/2026, a Radio Senado reportou requerimento para ouvir o secretario de Economia do DF sobre os impactos da crise envolvendo BRB e Banco Master nas contas publicas do Distrito Federal.",Banco_Master;GDF;Radio_Senado;Contas_Publicas,Pressao_politica_e_fiscal_sobre_reestruturacao_do_banco,Altissimo,Altissimo,Muito alta,https://www12.senado.leg.br/radio/1/noticia/2026/06/26/comissao-deve-ouvir-secretario-do-df-sobre-impactos-da-crise-do-brb
BRB,Nota_imprensa_operacao_PicPay_2026_06_19,"Em 19/06/2026, o BRB publicou nota a imprensa para negar contrato com a PicPay no contexto da operacao investigada e reforcar que os fatos nao diziam respeito a atual administracao do banco.",PicPay;BRB_Servicos;Consignado;Investigacao,Gestao_de_crise_e_contencao_reputacional,Alta,Altissimo,Alta,https://novo.brb.com.br/imprensa/nota-a-imprensa-19-06/
BRB,Acordo_FGC_2026_05_28,"Em 28/05/2026, o BRB publicou fato relevante sobre acordo com o FGC, mantendo no radar a leitura de capital, garantias e arranjo institucional de estabilizacao.",FGC;Capital;Garantias;Reestruturacao,Rearranjo_financeiro_e_institucional_com_efeito_sistemico,Altissimo,Altissimo,Alta,https://ri.brb.com.br/upload/files/4164_Fato-Relevante-acordo-FGC-v2-1.pdf
Sicoob,Super_App_Banking_Transformation_2026_07_17,"Em 17/07/2026, o Sicoob destacou publicamente o reconhecimento do Super App Sicoob como melhor aplicativo do mercado financeiro no Premio Banking Transformation, com cerca de 7,5 milhoes de acessos diarios e mais de 18 bilhoes de transacoes em 2025.",Super_App_Sicoob;Cantarino_Brasileiro;Banking_Transformation;Canais_Digitais,Validacao_externa_do_principal_canal_de_relacionamento_digital,Altissimo,Medio,Muito alta,https://www.sicoob.com.br/web/sicoobes/noticias/-/asset_publisher/xAioIawpOI5S/content/id/318241150
Sicoob,Goleada_de_Ofertas_campanha_digital_2026_07_17,"Em 17/07/2026, o Sicoob publicou a campanha Goleada de Ofertas com Zico, Endrick, creators e ativacao do Coopera para transformar audiencia esportiva em engajamento e relacionamento.",Zico;Endrick;Coopera;Creators,Ativacao_comercial_com_forte_componente_digital_e_de_marca,Altissimo,Baixo,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/321076677
Sicoob,HDI_embedded_insurance_2026_06_02,"Em 02/06/2026, o Portal do Cooperativismo Financeiro destacou a parceria entre Sicoob e Grupo HDI para embutir seguro na jornada de financiamento veicular, reduzindo friccao operacional e acelerando a protecao ao cooperado.",Grupo_HDI;Seguro_Auto_Financiado;Embedded_Insurance;Credito_Veicular,Parceria_de_produto_combinando_credito_e_seguro_na_mesma_jornada,Alta,Medio,Alta,https://cooperativismodecredito.coop.br/2026/06/sicoob-e-grupo-hdi-anunciam-parceria-e-lancam-solucao-que-une-credito-e-seguro/
Sicoob,Dez_milhoes_cooperados_2026_05_26,"Em 26/05/2026, o Portal do Cooperativismo Financeiro reportou que o Sicoob ultrapassou 10 milhoes de cooperados, reforcando escala comercial, capilaridade e capacidade de distribuicao nacional.",Cooperados;Capilaridade;Expansao_Comercial;Cooperativismo,Cobertura_externa_sobre_escala_e_posicionamento_do_sistema,Altissimo,Medio,Alta,https://cooperativismodecredito.coop.br/2026/05/sicoob-alcanca-novo-patamar-de-cooperados-e-reafirma-a-forca-do-modelo-cooperativo-no-brasil/
Banco Central,Contas_em_moeda_estrangeira_regulacao_cambial_2026_07_01,"Em 01/07/2026, o Banco Central ampliou o acesso a contas em moeda estrangeira e modernizou a regulacao cambial no pais para reduzir custos, simplificar operacoes e dar mais eficiencia aos negocios internacionais.",Cambio;Contas_Em_Moeda_Estrangeira;Negocios_Internacionais;Regulacao_Cambial,Modernizacao_regulatoria_com_impacto_em_sistemas_e_processos,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21191/noticia
Banco Central,Prudencial_para_prestadoras_de_ativos_virtuais_2026_07_01,"Em 01/07/2026, o Banco Central incorporou as sociedades prestadoras de servicos de ativos virtuais ao arcabouco prudencial vigente, ampliando a densidade regulatoria do setor.",Ativos_Virtuais;PSAV;Prudencial;Compliance,Expansao_do_arco_prudencial_sobre_infraestrutura_financeira_digital,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21192/nota
Banco Central,Open_Finance_saldo_limite_no_Pix_2026_06_23,"Em 23/06/2026, a Finsiders Brasil resumiu a nova etapa em que o Open Finance passa a permitir compartilhamento de saldo e limite antes da confirmacao do Pix por aproximacao, reduzindo transacoes recusadas e abrindo novas jornadas de checkout.",Open_Finance;Pix;Saldo;Limite,Integracao_operacional_de_pagamentos_digitais_e_dados_financeiros,Altissimo,Alto,Muito alta,https://finsidersbrasil.com.br/pagamentos/open-finance-permite-compartilhamento-de-saldo-e-limite-em-pix-por-aproximacao/
