Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
Banco do Brasil,Banco_do_Ano_Celent_Model_Bank_2026,"A Celent publicou em junho de 2026 que o Banco do Brasil foi o Model Bank of the Year 2026, destacando uso de IA e analytics alinhado a crescimento, rentabilidade e centralidade no cliente.",Celent,Reconhecimento_externo_de_maturidade_em_IA_e_analytics,Altissimo,Medio,Muito alta,https://www.celent.com/insights/announcing-the-celent-model-bank-2026-award-winners
Banco do Brasil,AcademIA_BB_2026_36_mil_funcionarios,"O Banco do Brasil informou em 08/06/2026 que o AcademIA BB 2026 ja engajou mais de 36 mil funcionarios, com mais de 3 milhoes de horas de treinamento e mais de 1,2 mil modelos de IA catalogados.",Ecossistema_proprio,Capacitacao_institucional_em_IA_generativa_e_agentica,Altissimo,Alto,Muito alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69153/
Banco do Brasil,IA_reforca_relacao_com_clientes_2026,"Cobertura do Estadao no portal UOL em 09/06/2026 destacou que Tarciana Medeiros apontou a IA como ganho central para elevar a precisao do acompanhamento do negocio e reforcar a relacao com clientes.",UOL;Estadao_Conteudo,Leitura_externa_sobre_execucao_pratica_de_IA_no_banco,Altissimo,Medio,Alta,https://economia.uol.com.br/noticias/estadao-conteudo/2026/06/09/uso-da-ia-permite-reforcar-relacao-com-clientes-aponta-presidente-do-bb.htm
Banco do Brasil,Tesouro_Reserva_via_Pix_2026,"O BB anunciou em junho de 2026 o Tesouro Reserva em parceria com Tesouro Nacional e B3, com investimento e resgate pelo app Investimentos BB usando transacao via Pix.",Tesouro_Nacional;B3,Solucao_de_pagamentos_e_investimentos_digitais_integrados,Alto,Medio,Alta,https://www.bb.com.br/pbb/pagina-inicial/imprensa/n/69113/
CAIXA,Universidade_Corporativa_digital_150_mil_usuarios,"A InforChannel publicou em 02/07/2026 que a Universidade Corporativa CAIXA modernizou sua plataforma digital para cerca de 150 mil usuarios, com recursos de IA, metaverso e gamificacao.",InforChannel;Universidade_CAIXA,Cobertura_setorial_sobre_modernizacao_da_educacao_corporativa,Altissimo,Medio,Muito alta,https://inforchannel.com.br/2026/07/02/universidade-corporativa-caixa-adota-sistema-de-educacao-digital-para-150-mil-usuarios/
CAIXA,Sandbox_CAIXA_reconhecimento_internacional_2026,"A CAIXA informou em 15/06/2026 que o Sandbox CAIXA entrou na lista da Global Finance entre os melhores laboratorios de inovacao financeira do mundo, com uso de experimentacao segura e apoio da agente generativa Sandy.",Global_Finance;Sandbox_CAIXA,Reconhecimento_internacional_de_laboratorio_de_inovacao,Altissimo,Medio,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/06-JUNHO/CAIXA-alcanca-reconhecimento-internacional-com-laboratorio-de-inovacao.aspx
CAIXA,Sandbox_CAIXA_antifraude_Microsoft_Copilot_2026,"A Global Finance detalhou em junho de 2026 que o Sandbox CAIXA passou a usar Microsoft Copilot para amadurecer ideias de empregados e avaliar um alerta antifraude para caixas eletronicos.",Global_Finance;Microsoft,Cobertura_externa_sobre_experimentacao_com_IA_e_prevencao_a_fraude,Altissimo,Medio,Alta,https://gfmag.com/technology/labs-rethink-banking-best-financial-innovation-labs-2026/
CAIXA,Modernizacao_do_SINAPI_com_APIs_2026,"A CAIXA publicou em maio de 2026 edital para modernizar o SINAPI, prevendo testes em ambiente real, dados estruturados, consultas interativas, APIs documentadas e maior integracao com plataformas governamentais.",SINAPI;TransfereGov,Chamada_publica_para_modernizacao_de_base_critica_de_dados,Altissimo,Alto,Muito alta,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/05-MAIO/CAIXA-lan%C3%A7a-edital-p%C3%BAblico-para-modernizar-o-SINAPI.aspx
BRB,Nota_imprensa_compliance_PCDF_23_06_2026,"O BRB informou em 23/06/2026 que a operacao deflagrada pela PCDF teve inicio a partir de noticia-crime encaminhada pelo proprio banco apos identificacao de irregularidades em movimentacoes financeiras e indicios de descumprimento de normas de compliance.",PCDF,Acionamento_institucional_de_controles_e_compliance,Altissimo,Altissimo,Muito alta,https://novo.brb.com.br/releases-imprensa/
BRB,Audiencia_CAE_transparencia_e_perdas_Master_2026,"O Senado registrou em 09/06/2026 que senadores cobraram transparencia sobre a situacao do BRB, questionando perdas relacionadas ao Banco Master, atraso do balanco de 2025 e efeitos sobre depositos judiciais.",Senado_Federal;Banco_Master,Pressao_politica_e_institucional_sobre_governanca_e_capital,Altissimo,Altissimo,Muito alta,https://www12.senado.leg.br/noticias/materias/2026/06/09/em-audiencia-na-cae-senadores-cobram-transparencia-sobre-situacao-do-brb
BRB,Operacao_Quadra_Capital_readequacao_2026,"Em fato relevante de 20/04/2026, o BRB informou memorando com a Quadra Capital para estruturar operacao de referencia de R$ 15 bilhoes destinada a fortalecer capital, liquidez e gestao de ativos ligados ao caso Banco Master.",Quadra_Capital;Banco_Master,Readequacao_patrimonial_e_de_liquidez_com_divulgacao_ao_mercado,Altissimo,Altissimo,Muito alta,https://ri.brb.com.br/upload/files/4134_Fato-Relevante-Operac-a-o-QUADRA-CAPITAL.pdf
BRB,Acordo_FGC_para_aporte_de_capital_2026,"Em fato relevante de 28/05/2026, o BRB detalhou acordo homologado pelo STF para viabilizar operacao de credito junto ao FGC, com foco exclusivo em aporte de capital pelo acionista controlador.",FGC;STF;Banco_Central,Arranjo_formal_para_recomposicao_de_capital_e_continuidade,Altissimo,Altissimo,Muito alta,https://ri.brb.com.br/upload/files/4164_Fato-Relevante-acordo-FGC-v2-1.pdf
Sicoob,Resultado_recorde_2025_publicado_2026_07_07,"O Sicoob publicou em 07/07/2026 resultado financeiro recorde de R$ 11,2 bilhoes em 2025, com crescimento de 33,3% sobre o ano anterior e base de cooperados proxima de 10 milhoes.",Ecossistema_proprio,Resultado_recorde_com_reforco_de_capacidade_de_reinvestimento,Altissimo,Medio,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/321076437
Sicoob,Dez_milhoes_de_cooperados_2026,"O Estadao no portal UOL informou em 25/05/2026 que o Sicoob atingiu 10 milhoes de cooperados, com crescimento de 44% sobre dezembro de 2025 e forte ampliacao de escala operacional.",UOL;Estadao_Conteudo,Escala_nacional_e_pressao_positiva_sobre_canais_digitais,Altissimo,Medio,Muito alta,https://economia.uol.com.br/noticias/estadao-conteudo/2026/05/25/cooperativa-sicoob-atinge-marca-de-10-milhoes-de-cooperados.htm
Sicoob,Reconhecimento_BNDES_2026,"O portal do BNDES manteve em 2026 o Sicoob entre os agentes financeiros reconhecidos pelo desempenho em distribuicao de credito e relacionamento com pequenos negocios.",BNDES,Reconhecimento_externo_em_credito_e_distribuicao,Alto,Medio,Alta,https://www.bndes.gov.br/wps/portal/site/home/instituicoes-financeiras-credenciadas/reconhecimento-bndes
Sicoob,Contexto_sustentado_Top_7_inovadoras_TI_2026,"Contexto sustentado: a MundoCoop reportou em 06/04/2026 que o Sicoob chegou ao Top 7 do ranking As 100+ Inovadoras no Uso de TI, com destaque para o Modo Guardiao no Super App.",MundoCoop;IT_Forum,Reconhecimento_externo_de_inovacao_em_TI_e_segurança,Alto,Medio,Alta,https://mundocoop.com.br/economia-negocios/sicoob-alcanca-top-7-do-ranking-as-100-inovadoras-no-uso-de-ti-em-2026/
Banco Central,Contas_em_moeda_estrangeira_regulacao_cambial_2026,"Em 01/07/2026, o Banco Central anunciou ampliacao do uso de contas em moeda estrangeira no pais, com objetivo de reduzir custos, simplificar operacoes e dar mais eficiencia aos negocios internacionais.",Ecossistema_regulatorio,Modernizacao_regulatoria_com_impacto_em_sistemas_e_processos,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21191/noticia
Banco Central,Jornada_otimizada_Pix_Open_Finance_2026,"A Agencia Brasil informou em 23/06/2026 que a nova jornada otimizada do Pix por aproximacao passou a permitir compartilhamento de saldo e limite na mesma etapa de vinculacao da conta ao pagamento.",Agencia_Brasil;Open_Finance,Integracao_operacional_de_pagamentos_digitais_e_dados_financeiros,Altissimo,Alto,Muito alta,https://agenciabrasil.ebc.com.br/radioagencia-nacional/economia/audio/2026-06/banco-central-da-mais-um-passo-na-integracao-entre-pix-e-open-finance
Banco Central,Prudencial_para_prestadoras_de_ativos_virtuais_2026,"Em 02/07/2026, o Banco Central incorporou as sociedades prestadoras de servicos de ativos virtuais ao arcabouco prudencial vigente, ampliando a densidade regulatoria do setor.",Prestadoras_de_servicos_de_ativos_virtuais,Expansao_do_arco_prudencial_sobre_infraestrutura_financeira_digital,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21192/nota
Banco Central,Manual_de_Seguranca_Open_Finance_v5_2026,"A Instrução Normativa BCB n 720, de 02/04/2026, divulgou a versao 5.0 do Manual de Seguranca do Open Finance, reforcando requisitos obrigatorios para o ecossistema de APIs financeiras.",Open_Finance,Atualizacao_normativa_de_seguranca_para_o_ecossistema_aberto,Altissimo,Altissimo,Alta,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?numero=720&tipo=Instru%C3%A7%C3%A3o+Normativa+BCB
